순,등록번호,서명,현재KDC,현재청구기호,워커상태,판정,유형,권고KDC,사유
66,EM197517,"사라지는 돈, 살아남는 돈, 불어나는 돈",327.87,327.87 김95사,ok,FAIL,표목 불일치,327.856,327.87은 부동산투자. 주식·코스피 투자 전략서
69,EM197520,상처받은 아이가 아름답다,590.4,590.4 이64상,ok,FAIL,표목 불일치,598.1 또는 370.18,590.4는 재난 시 가정관리. 아동 회복탄력성
74,EM197525,소우주,678,678 한57소,ok,FAIL,표목 불일치,673.5 또는 818,"678은 관악기. 워커 메모가 ""발췌본의 678 관악기는 대중음악과 상이하나 강행""이라 스스로 불일치를 인지하고도 배정"
84,EM197535,중국 AI 미래 지도,325.211,325.211 임54중,ok,FAIL,표목 불일치,321 또는 004.73,325.211은 개인의 성공. 중국 AI 산업·기술 분석서
86,EM197537,질서의 종말,346,346 카897질,needs_info,FAIL,표목 불일치,349,346은 정당. 지정학·국제정치는 349
87,EM197538,책은 죽지 않는다 本は死なない,824.7,824.7 이58책,ok,FAIL,문학 언어 오배정,834.6,"824.7은 중국 현대수필. 본서는 일본 수필(041 $hjpn, 650 일본 수필)"
88,EM197539,청소년과 함께하는 민주주의 이야기,343,343 최883청,ok,FAIL,미배정 번호,340 또는 342,343은 KDC6 본표에 표목이 배정돼 있지 않은 번호
90,EM197541,콘크리트 유토피아,394,394 박93콘,ok,FAIL,표목 불일치,331.47 또는 539.7,394는 군사시설 및 장비. 아파트·중산층 사회론과 무관
91,EM197542,키는 타이밍입니다,590.4,590.4 박57키,ok,FAIL,표목 불일치,598.1 또는 517.2,590.4는 재난 시 가정관리. 아동 성장·키
93,EM197544,헤이세이는 왜 실패했는가,327.87,327.87 노16헤,ok,FAIL,표목 불일치,320.913 또는 322,327.87은 부동산투자. 일본 헤이세이 경제사
94,EM197545,강아지가 하는 말,591.7,591.7,qa_failed,FAIL,미존재 세목,527.41,591.7 세목 근거 없음. 같은 배치 #100(강아지 돌봄)은 527.41 — 배치 내 불일치
97,EM197548,별과 원자,446,446 에28별,qa_failed,FAIL,표목 불일치,443,446은 측지학. 천체물리·항성은 440번대(443 기술천문학 등)
99,EM197550,생각하는 청소년을 위한 생화학의 역사,546,546 정65생,qa_failed,FAIL,표목 불일치,471.4 또는 474,546은 건축설비·배관 및 파이프의 부설. 생화학과 무관
103,EM197554,아인슈타인이 알았더라면,422,422 아57아,qa_failed,FAIL,표목 불일치,420.13 또는 429,422는 유체역학. 양자역학과 무관
105,EM197556,천재 박쥐,473,473 요44천,ok,FAIL,표목 불일치,496.8,473은 생명론·생물철학. 박쥐 생태·지능 과학서
116,EM197567,난생처음 피부과 상담,598,598 성73난,ok,FAIL,표목 불일치,512.9 또는 593,598은 육아. 피부과 상담 실무서
117,EM197568,내 아이의 언어 감각,590.4,590.4 임25내,ok,FAIL,표목 불일치,598.1,590.4는 재난 시 가정관리. 유아 언어발달
118,EM197569,내일식단의 속세맛 다이어트 치트키,596.9,596.9 김38내,ok,FAIL,표목 불일치,594.5,596.9는 주류업소 및 음식점 등의 시설관리. 다이어트 레시피북
121,EM197572,무염·저염 하나로 끝내는 베이스 유아식,596.9,596.9 애897무,ok,FAIL,표목 불일치,594.5,596.9는 음식점 시설관리. 유아식 레시피북
122,EM197573,세포를 재생하면 질병은 낫는다,514.1,514.1 조44세,ok,FAIL,표목 불일치,512 또는 513,514.1은 외과기초학. 재생의학·자연치유
124,EM197575,실리콘밸리에서 배운 아이 자신감 설계법,337.2,337.2 권66실,ok,FAIL,표목 불일치,378.9,337.2는 여성문제. 자녀 자신감 교육서
129,EM197580,"유연한 채식, 페스카테리언의 식탁",594.36,594.36 지67유,qa_failed,FAIL,표목 불일치,594.5 또는 594.55,594.36은 과일·과실. 채식 레시피북
130,EM197581,"이것만 알면 인테리어 공사로 1,000만 원 벌 수 있다",525.8,525.8 양57이,qa_failed,FAIL,표목 불일치,595 또는 548.95,525.8은 원예. 인테리어 시공 실무서
131,EM197582,일본 현지 슈퍼마켓 대백과,913.4,913.4 스12일,needs_info,FAIL,표목 불일치,981.302 또는 325.5,913.4는 규슈(일본사). 일본 슈퍼마켓 안내서
132,EM197583,작고 우아한 빛나는 얼굴 만들기 : 안티에이징 편,518.35,518.35 정92작,ok,FAIL,표목 불일치,512.9 또는 593,518.35는 효소(약학). 안티에이징 피부시술
137,EM197588,추추의 집밥 클래스,597.3,597.3 추73추,qa_failed,FAIL,표목 불일치,594.51,597.3은 주택청소. 한식 조리법
139,EM197590,킬러 푸드,591.7,591.7 배14킬,ok,FAIL,미존재 세목,594.37 또는 598,591.7 세목 근거 없음. 아동 식습관
140,EM197591,태교의 과학,518,518 이57태,qa_failed,FAIL,표목 불일치,517.2 또는 598,518은 약학. 태교·임신
143,EM197594,더포스 현이쌤의 알짜 수영 레슨,694.1,694.1 이94더,ok,FAIL,표목 불일치,696,694.1은 육상경기. 수영은 696(수상경기)
144,EM197595,디자인 트리거,650.6,650.6 윤73디,ok,FAIL,표목 불일치,658,650.6은 학회·협회·단체. 디자인은 658
146,EM197597,샤머니즘의 모든 것,600.04,600.04 카295샤,qa_failed,FAIL,표목 불일치,219 또는 218,600.04는 예술에세이. 샤머니즘 세계관 시각자료집
152,EM197603,일본 문구 대백과,681.8,681.8 다57일,qa_failed,FAIL,표목 불일치,589 또는 658,681.8은 단체급식·급식경영·외식경영. 일본 문구 도감
157,EM197608,로지쌤의 영어 그림책 정공법,748,748 로78로,qa_failed,FAIL,표목 불일치,747.07 또는 374,748은 방언(사투리). 영어 그림책 교육법
159,EM197610,요만큼만 알아도 미드가 엄청 재밌어진다!,740.7,740.7,qa_failed,FAIL,표목 불일치,747.5,740.7 세목 근거 없음. 영어 회화는 747.5(747.2-.5는 717.2-.5와 같이 세분) — 하네스 기지적
164,EM197615,짧은 문장의 힘,802.5,802.5 유64짧,qa_failed,FAIL,표목 불일치,802,802.5는 연설법(대중연설). 문장작법은 802
166,EM197617,I,833.7,833.7,qa_failed,FAIL,표목 불일치,833.6,"833.7은 강담(講談). 부가기호 04080=성인, 일본 현대소설은 833.6"
168,EM197619,간호사 우즈키의 미련,833.7,833.7 아878간,ok,FAIL,표목 불일치,833.6,833.7은 강담. 부가기호 03830=성인
169,EM197620,거울은 먼저 웃지 않는다,813.8,813.8 신57거,ok,FAIL,대상독자 오판,813.7,813.8은 아동·유아용. 부가기호 03810=교양(성인)
175,EM197626,그녀와 내가 사계절을 맛있게 즐기는 법,833.8,833.8 니68그,ok,FAIL,대상독자 오판,833.6,833.8은 동화(아동). 부가기호 07830=성인 만화 — 워커 메모리상 코미컬라이즈도 833.6
177,EM197628,그리고 강은 그녀를 끌어내린다,843.7,843.7 윤78그,ok,FAIL,미존재 세목,843,843의 시대구분은 .3~.6뿐 — 843.7은 KDC6에 없음. 또한 관 관행은 소수점 없는 843
178,EM197629,"그림책, 알수록 사랑하게 된다",800,800 서94그,qa_failed,FAIL,비문학을 문학류로,028 또는 011,800(문학)에 그림책 읽기 안내서(비문학)를 배정
183,EM197634,나만의 스토리가 있는 아이로 키우는 법,818,818 김45나,ok,FAIL,표목 불일치,378.9,818은 르포르타주 및 기타(한국문학). 자녀교육·대입 안내서
196,EM197647,마고가 돈 문제에 대처하는 법,843.6,843.6 소897마,ok,FAIL,관 관행 위반,843,동상
200,EM197651,문제늑대가 우리를 갈라놓았다,823.7,823.7 오897문,qa_failed,FAIL,문학 언어 오배정,853,823.7은 중국 현대소설. 본서는 오스트리아 소설(041 $hger)
202,EM197653,바다가 들리는 편의점 4,833.8,833.8 마86바,ok,FAIL,대상독자 오판,833.6,833.8은 동화(아동). 부가기호 03830=교양(성인) — 하네스 기지적
203,EM197654,바다가 들리는 편의점 5,833.7,833.7 마86바,ok,FAIL,표목 불일치,833.6,833.7은 강담. 부가기호 03830=성인. 같은 총서 vol.4는 833.8 — 총서 내 불일치
208,EM197659,부피의 계산에 대하여 2,883,883 발294부,ok,FAIL,문학 언어 오배정,859 (vol.1과 일치),883(이탈리아)에 덴마크 소설. 240 원표제는 덴마크어 — 하네스 기지적
209,EM197660,북쪽의 개,800,800 매874북,qa_failed,FAIL,세목 누락(대분류),843,800 대분류만. 영어 원작 성인소설
210,EM197661,비밀구락부,813.8,813.8 이95비,ok,FAIL,대상독자 오판,813.7,부가기호 03810=성인. 역사소설
211,EM197662,빵집에서는 수수께끼의 향기가 난다,833.7,833.7 쓰86빵,ok,FAIL,표목 불일치,833.6,833.7은 강담. 부가기호 04830=성인
213,EM197664,살목지,813.8,813.8 조78살,needs_info,FAIL,대상독자 오판,813.7,부가기호 03810=성인. 공포소설
221,EM197672,솔 벨로 1,843.5,843.5 벨295솔,ok,FAIL,관 관행 위반,843,성인 외국소설은 소수점 없는 843 — 워커 자신의 메모리 kdc_843_foreign_adult_fiction 규칙
222,EM197673,솔 벨로 2,843.5,843.5 벨295솔,ok,FAIL,관 관행 위반,843,동상
223,EM197674,수평선 너머,843.7,843.7 마68수,ok,FAIL,미존재 세목,843,843.7 미존재 + 관 관행 위반
224,EM197675,슬픈 호랑이,843.7,843.7 시195슬,ok,FAIL,문학 언어 오배정,863,"843.7은 영미소설(게다가 미존재 세목). 본서는 프랑스 소설(041 $hfre, 부가기호 03860=860 프랑스문학)"
231,EM197682,애니가 남긴 것,843.7,843.7 퀸27애,qa_failed,FAIL,미존재 세목,843,843.7 미존재 + 관 관행 위반
232,EM197683,어느 영화의 이변에 대한 목격 정보를 모집합니다,800,800 카68어,ok,FAIL,세목 누락(대분류),833.6,"800 대분류만. 일본 성인소설 — 650에는 이미 ""일본 소설"" 기재"
238,EM197689,여름,843.6,843.6 워887여,qa_failed,FAIL,관 관행 위반,843,동상 (더불어 1917년작을 .6=21세기로 배정)
248,EM197699,이 완벽한 날,843.6,843.6 레48이,ok,FAIL,관 관행 위반,843,동상
255,EM197706,저 밖에서 비명 소리가,843.6,843.6,qa_failed,FAIL,관 관행 위반,843,동상
260,EM197711,"좋겠다, 아무것도 안 하고 월급 받으면",813.8,813.8 박54좋,ok,FAIL,대상독자 오판,813.7,부가기호 03810=성인
262,EM197713,죽음의 인연,800,800 오63죽,needs_info,FAIL,세목 누락(대분류),833.6,800 대분류만. 일본 성인소설
271,EM197722,코헨을 듣는 시간,817,817 고64코,qa_failed,FAIL,표목 불일치,814.7,"817은 풍자 및 유머. 650도 ""한국 현대 수필"""
274,EM197725,평화로운 우리의 비건 식탁에 놀러 오세요,596.81,596.81 은64평,qa_failed,FAIL,표목 불일치,594.5,596.81은 호텔. 비건 요리책
277,EM197728,한눈에 읽는 오디세이,813.7,813.7 호34한,qa_failed,FAIL,문학 언어 오배정,881 또는 808,"813.7(한국 현대소설)에 호메로스 오디세이아 — 650에도 ""한국 현대 소설"" 오기"
285,EM197736,세상에서 가장 짧은 중국사,911,911 제68세,ok,FAIL,표목 불일치,912,911은 한국(사). 중국사
286,EM197737,슈타지랜드,900,900 펀24슈,qa_failed,FAIL,세목 누락(대분류),925.4,900 대분류만. 동독 슈타지
287,EM197738,엘리자베트,900,900 김72엘,ok,FAIL,세목 누락(대분류),925 또는 928,900 대분류만. 오스트리아 황후 전기
290,EM197741,유럽 도시 기행 2,920.4,920.4 유58유,qa_failed,FAIL,총서 계승 실패,982.02,920.4(유럽 근세사) — 하네스 기지적
291,EM197742,유럽 도시 기행 3,818,818 유58유,qa_failed,FAIL,총서 계승 실패,982.02,818(르포르타주) — 자관 vol.1은 982.02 — 하네스 기지적
294,EM197745,일본에서 보내는 한 달,913.05,913.05 김67일,ok,FAIL,표목 불일치,981.302,913.05는 메이지시대(1867-1912). 일본 한 달 여행기
296,EM197747,좋은 전쟁,911,911 미884좋,ok,FAIL,표목 불일치,912.07 또는 909,911은 한국(사). 중일전쟁·2차대전
298,EM197749,"튀르키예, 역사로 여행하기",900,900 이56튀,ok,FAIL,세목 누락(대분류),982.802,900 대분류만. 튀르키예 역사 기행
6,EM197457,읽는 여성의 역사,337.0911,337.0911 최94읽,ok,WARN,세목 부적합,029.4 또는 337.09,"337.0911은 ""한국의 여성"". 동서양 전체를 다루는 여성 독서사"
8,EM197459,거절의 기술,325.211,325.211 패887거,ok,WARN,세목 부적합,189.2 또는 194.2,325.211(비즈니스 성공)보다 대인관계·처세
9,EM197460,나는 나다운 공간에서 살고 싶다,100,100 오57나,ok,WARN,세목 누락,814.7,100 대분류만 부여. 공간 인문 에세이(한국 수필)
13,EM197464,마흔에 읽는 하이데거,104,104 한52마,ok,WARN,세목 부적합,165.84,"104는 철학 표준구분 강연집·수필집. 하이데거 해설서는 165.84 — 메모의 ""자관 104가 165건으로 압도적""은 미검증 근거"
15,EM197466,부자들은 절대 속지 않는 돈의 함정,325.211,325.211 셰75부,ok,WARN,세목 부적합,327.04,325.211 대신 개인 재무·투자 판단
21,EM197472,삶의 불안을 잠재우는 노자의 말,150,150 노36삶,ok,WARN,세목 누락,152.222,150은 동양철학 대분류. 노자·도덕경은 152.222
26,EM197477,소원이 이루어지는 작은 호텔,325.211,325.211,qa_failed,WARN,세목 부적합,853 또는 199.1,325.211 — 독일 작가의 이야기 형식 자기계발서
28,EM197479,"신, 인간, 동물, 기계",180.1,180.1 오18신,ok,WARN,세목 부적합,500.1 또는 165,180.1은 이론구조심리학. 기술철학·종교와 과학 주제와 거리
29,EM197480,아무것도 아닐 때 나는 무엇인가?,100,100 네298아,ok,WARN,세목 누락,199.1 또는 290.1,100 대분류만 부여. 비이원론 영성 수련서
30,EM197481,어른이 되면 관계가 쉬워질 줄 알았는데,184,184 성66어,qa_failed,WARN,세목 부적합,189.2,184는 이상심리학. 일반 인간관계 심리 에세이
32,EM197483,운의 그릇,325.211,325.211 사885운,ok,WARN,세목 부적합,199.1,325.211 대신 운·처세
34,EM197485,위험 예찬,184,184 뒤896위,qa_failed,WARN,세목 부적합,166 또는 864,184는 이상심리학. 프랑스 철학자의 철학 에세이
35,EM197486,일상의 질문에 답하는 짧은 철학책,100,100 크42일,ok,WARN,세목 누락,100 유지 가능,대분류만 부여 — 주제별 철학 입문이라 허용 범위
36,EM197487,자신의 불안과 싸우지 말 것,100,100 베297자,ok,WARN,세목 부적합,185.3 또는 224.3,100(철학)에 불안·마음챙김 심리서
38,EM197489,종교를 실험하다,180,180,qa_failed,WARN,세목 누락,185 또는 201.1,180 대분류만 부여. 종교심리학
39,EM197490,지적인 삶을 위한 열 가지 철학,100,100 오872지,qa_failed,WARN,세목 누락,100 유지 가능,대분류만 부여 — 철학 개념 개론
40,EM197491,파이터의 마음 근육,180,180 김73파,ok,WARN,세목 누락,692.01,180 대분류만 부여. 스포츠심리학
42,EM197493,길 위에서 바울을 보다,230.4,230.4 미198길,ok,WARN,세목 부적합,233 또는 982.802,230.4는 기독교 표준구분 강연집. 성지순례 기행
47,EM197498,신들은 생각하라고 말한다,290.1,290.1 파57신,qa_failed,WARN,세목 부적합,219,290.1은 기타 제종교. 그리스 신화는 219(신화·신화학)
51,EM197502,"60세부터 90세까지, 현명하게 돈 쓰는 법",327.8,327.8 오64세,ok,WARN,세목 부적합,327.04 또는 338.6,327.8은 투자금융. 노후 소비·생활 지침서
52,EM197503,가미야마,331.5,331.5 시195가,ok,WARN,세목 부적합,539.7 또는 331.47,331.5는 문화·문화과정. 지역재생·마을만들기
53,EM197504,감정 채굴,330.4,330.4 일296감,ok,WARN,세목 부적합,331.5 또는 321,330.4
54,EM197505,고스팅,300,300 페887고,ok,WARN,세목 누락,331.1 또는 331.5,300 대분류만 부여
55,EM197506,공부나 하라고요? 세상이 이 모양인데?,332,332 토18공,needs_info,WARN,세목 부적합,340 또는 070.4,332는 사회조직 및 제도. 청소년 언론 기사 모음
57,EM197508,노력이 무기가 될 때,370.4,370.4 김94노,ok,WARN,세목 부적합,378.9,370.4는 교육학 표준구분. 학부모 입시 수기
58,EM197509,"달러, 코인, 전쟁",327.856,327.856 고57달,ok,WARN,세목 부적합,327.2,327.856은 증권거래. 스테이블코인·화폐패권은 327.2(암호화폐 포함 명시)
60,EM197511,리더의 옷은 생각보다 무거웠다,300,300 이18리,ok,WARN,세목 누락,325.24,300 대분류만 부여. 리더십 에세이
61,EM197512,리더의 일은 맡기는 것이 전부다,325.211,325.211 이42리,ok,WARN,세목 부적합,325.24 또는 325.3,325.211(개인의 성공)보다 리더십·조직 위임
62,EM197513,미국은 왜 전쟁에서 승리하지 못하는가,300,300 스885미,qa_failed,WARN,세목 누락,390 또는 349,300 대분류만 부여. 군사전략·전쟁론
67,EM197518,사람의 마지막 직업,331.5412,331.5412,qa_failed,WARN,확인 필요,331.5412 유지 가능,사회변동으로 성립 가능하나 워커의 경로 설명은 오기
68,EM197519,상처를 끄는 존재들,300,300 테68상,ok,WARN,세목 누락,338.9 또는 539.98,300 대분류만 부여. 장애학·환경정의
71,EM197522,성공의 배신,330.1,330.1 크292성,needs_info,WARN,세목 부적합,331.5 또는 336,330.1
72,EM197523,세계화는 어떻게 실패했는가,300,300 린86세,needs_info,WARN,세목 누락,322.8,300 대분류만 부여. 세계화·국제경제
73,EM197524,센스 있는 생각에는 틀이 있다,325.211,325.211 사885센,qa_failed,WARN,세목 부적합,325.57,325.211 대신 마케팅(325.57)
77,EM197528,우리는 어떤 나라를 원하는가,300,300 백57우,ok,WARN,세목 누락,351,"300 대분류만 부여. 국가재정 — 메모가 ""자관에 320·351 분포가 없어 300""이라 서술"
78,EM197529,유대인 엄마의 경제 교육,330.4,330.4 이32유,qa_failed,WARN,세목 부적합,378.9 또는 327.04,330.4 — 자녀 금융교육서
79,EM197530,육식의 종말,330,330 리897육,ok,WARN,세목 누락,381.7 또는 539.98,330 대분류만 부여. 육식 문화사
83,EM197534,주인의 눈,300,300 파57주,qa_failed,WARN,세목 누락,331.5412 또는 004.7309,300 대분류만 부여. AI 사회기술사
89,EM197540,최상위 합격을 만드는 시사 융합 탐구력,378.9,378.9 한57최,ok,WARN,세목 부적합,373 또는 376.54,378.9는 부모교육. 수험생 대상 탐구 학습서
92,EM197543,하이브리드 씽킹,300,300 정44하,ok,WARN,세목 누락,325.14 또는 189,300 대분류만 부여. 사고법·문제해결
95,EM197546,기후위기는 어떻게 내 몸을 병들게 하는가,400,400 베297기,ok,WARN,세목 누락,517 또는 539.98,400 대분류만 부여. 기후위기와 건강
96,EM197547,나 생명과학 좋아하나 봐,470,470 이15나,qa_failed,WARN,세목 누락,470.7 또는 371.4,470 대분류만 부여. 청소년 진로 독서 가이드
98,EM197549,새들의 세계,477.9699,477.9699 언66새,ok,WARN,세목 부적합,496.7,477.9699는 생물지리학 국가별. 전 세계 조류 도감
101,EM197552,수학자의 생각 수업,410.4,410.4 주92수,ok,WARN,세목 부적합,410.1 또는 410,410.4는 수학 표준구분 강연집
102,EM197553,식물은 어떻게 느끼고 행동하고 기억하는가,481,481 곽76식,ok,WARN,세목 부적합,483,481은 일반 식물학. 식물생리·분자생물학
104,EM197555,자연 본능,400,400 굴298자,needs_info,WARN,세목 누락,699.104,"400 대분류만 부여 — 메모가 ""자관 경향상 400""이라 서술"
107,EM197558,친절한 교과 씨 힘과 운동으로 수다 떨다,421,421 고73친,ok,WARN,확인 필요,421 유지 가능,고체역학으로 성립 가능
108,EM197559,화성에 도시를 세운다면,530.04,530.04 와68화,ok,WARN,세목 부적합,538.9 또는 440,530.04는 공학 표준구분 강연집. 우주 정착 과학서
109,EM197560,(좋든 싫든) 성수론,300,300 권94좋,qa_failed,WARN,세목 누락,331.47 또는 539.7,300 대분류만 부여. 도시사회학
113,EM197564,갱선생의 기적의 다이어트,517.3,517.3 갱54갱,qa_failed,WARN,세목 부적합,517.52,517.3은 개인위생. 다이어트 식이
114,EM197565,결국 부모는 믿어주는 사람,590.5,590.5 이57결,ok,WARN,세목 부적합,598.1,590.5는 생활과학 표준구분. 자녀교육 에세이
115,EM197566,기질 양육의 뇌과학,598,598 렝16기,ok,WARN,세목 누락,598.1,598 대분류만 부여
120,EM197571,몸으로 마음을 다스리는 셀프 리셋,517.52,517.52 오196몸,ok,WARN,세목 부적합,185.3 또는 517.32,517.52는 식이. 신체심리 트레이닝
123,EM197574,스포츠의학으로 읽는 목과 어깨,512.91,512.91 이25스,ok,WARN,세목 부적합,517.89,512.91보다 스포츠의학
125,EM197576,암을 이겨내는 사람들의 비밀,517.32,517.32 문65암,ok,WARN,세목 부적합,513.9,517.32는 오락과 운동. 암 치료·예방
126,EM197577,어서 오세요 희망약국입니다,517.3,517.3 임75어,qa_failed,WARN,세목 부적합,518.6 또는 517,517.3(개인위생)에 약국·생활약학
127,EM197578,우리 아이 평생 육아 마스터플랜,517.3,517.3 김56우,qa_failed,WARN,세목 부적합,517.2 또는 598,517.3에 모자보건·육아
128,EM197579,우아한 노화,517.3,517.3 김56우,ok,WARN,세목 부적합,517.2 또는 511.4,517.3에 노화·웰에이징
133,EM197584,제시언니의 갱년기 수업,517.3,517.3 제58제,ok,WARN,세목 부적합,517.2 또는 513.6,517.3에 갱년기 여성건강
134,EM197585,중년을 살리는 하루 4분 운동,517.3,517.3 이52중,ok,WARN,세목 부적합,517.32,517.3에 중년 운동법
136,EM197587,청소년 정신 건강에 관한 모든 질문,517.32,517.32 홍94청,qa_failed,WARN,세목 부적합,513.8 또는 185.3,517.32는 오락과 운동. 청소년 정신건강
138,EM197589,콩팥을 지키려면 음식부터 바꾸셔야겠습니다,517.523,517.523 류25콩,ok,WARN,확인 필요,517.52,517.523 세목의 본표 근거 불명
141,EM197592,그림 속 철학 풍경,100,100 김46그,ok,WARN,세목 누락,166 또는 650.1,100 대분류만 부여. 푸코 철학과 회화
142,EM197593,그림이 나를 자유롭게 할 거야,650.4,650.4 이56그,ok,WARN,확인 필요,650.4 유지 가능,회화 평론·수필로 성립 가능
145,EM197596,리피디의 펜 한 자루로 끝내는 뻔뻔한 드로잉,657.5,657.5 리898리,ok,WARN,세목 부적합,651,657.5는 삽화. 드로잉 기법서
149,EM197600,유물멍 : 오래 볼수록 사랑스러운 것들,600.04,600.04 국298유,ok,WARN,세목 부적합,069 또는 814.7,600.04(예술에세이) — 박물관 유물 수필집
150,EM197601,음악가의 일,670.6,670.6 손68음,qa_failed,WARN,세목 부적합,670.9 또는 672,670.6은 음악 표준구분 학회·단체. 음악가 인터뷰집
151,EM197602,음악의 기술,670.4,670.4 워194음,ok,WARN,세목 부적합,672.6 또는 670.1,670.4는 음악 표준구분 강연집. 피아노 연주법·음악철학
158,EM197609,세상에서 가장 순수하고 우수한 말,710.7,710.7 정55세,qa_failed,WARN,세목 부적합,711 또는 710.9,710.7 세목 근거 불명. 북한어·어휘 연구
161,EM197612,자아 만들기,740.7,740.7 모18자,ok,WARN,세목 부적합,740.7 근거 불명,영어 학습 동기 — 세목 근거 확인 필요
162,EM197613,자주 쓰는 영어 단어를 파고듭니다,743,743 김78자,qa_failed,WARN,세목 부적합,744,743은 사전. 영어 어휘는 744
163,EM197614,지적 대화를 위한 AI 언어 수업,004.582,004.582 강56지,ok,WARN,세목 부적합,004.73,004.582는 인터넷. 프롬프트·자연어처리는 004.73(인공지능)이 근접
173,EM197624,관계의 그릇,180,180 이94관,ok,WARN,세목 누락,189.2,180 대분류만 부여. 인간관계 심리
179,EM197630,"기적처럼, 채은이",814,814 김66기,ok,WARN,세목 누락,814.7,814 대분류만 — 배치 내 다른 한국 현대수필은 814.7
182,EM197633,나를 살리는 음식들,814.7,814.7 선73나,ok,WARN,세목 부적합,594.51 또는 814.7,814.7이나 사찰음식 조리 비중 확인 필요
194,EM197645,루미너스,813.7,813.7 박78루,qa_failed,WARN,기술 불일치,확인 필요,"813.7이나 ""엮은이·옮긴이"" 표시 — 번역 앤솔러지 여부 확인"
204,EM197655,반장으로서의 책임과 의무 7,813.7,813.7 수58반,qa_failed,WARN,확인 필요,813.7 유지 가능,만화 단행본(수신지) 여부 확인
207,EM197658,부피의 계산에 대하여 1,800.99,800.99 발294부,ok,WARN,총서 내 불일치,859,800.99 — 같은 총서 vol.2는 883. 덴마크문학은 859(기타 게르만문학)
212,EM197663,산곡미풍,828,828 위95산,ok,WARN,세목 부적합,824.7,828은 르포르타주 및 기타. 위화 수필집은 824.7
229,EM197680,아이를 위한 부모 인문학,100,100 김38아,ok,WARN,세목 누락,378.9,100 대분류만 부여. 부모 대상 인문 교육서
236,EM197687,얽히는 돌봄,309.111,309.111 희67얽,ok,WARN,세목 부적합,338 또는 331.47,309.111(한국 사회문화사정)보다 돌봄 사회문제
243,EM197694,우리 집 댕냥이가 죽으면 어떡하지?,818,818 시65우,qa_failed,WARN,기술 불일치,818 유지 가능,"번역서(옮긴이 표시)인데 650은 ""한국 수필"""
245,EM197696,우리의 여름은 문장이 된다,818,818 이58우,qa_failed,WARN,세목 부적합,326.14 또는 834,818 — 일본 광고 주제
