순,서명,워커상태,QA지적/needs_info,하네스판정,비고
39,지적인 삶을 위한 열 가지 철학,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
41,가장 거대한 악은 전쟁,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
47,신들은 생각하라고 말한다,qa_failed,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,재시도,번역서 041/546 누락 — 기계적 보완 가능
48,신화의 역사,error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
50,"10대, AI가 넘볼 수 없는 사람이 되어라",error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
55,공부나 하라고요? 세상이 이 모양인데?,needs_info,목차,재시도(웹검색 보강) 후 미해결시 에스컬레이션,목차/책소개/원서명 웹검색 재시도
62,미국은 왜 전쟁에서 승리하지 못하는가,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
63,"민주주의를 파괴하는 돈, 거짓말, 신",error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
67,사람의 마지막 직업,qa_failed,저자기호가 비어 있습니다.,사서 에스컬레이션,"1음절 저자명/한글 없는 표제 — 리재철 규칙 적용 불가, 관 정책 필요"
70,생기부를 결정하는 최상위권 중등 탐구 독서,error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
71,성공의 배신,needs_info,원서명 / 원어 정보,재시도(웹검색 보강) 후 미해결시 에스컬레이션,목차/책소개/원서명 웹검색 재시도
72,세계화는 어떻게 실패했는가,needs_info,목차 / 책소개,재시도(웹검색 보강) 후 미해결시 에스컬레이션,목차/책소개/원서명 웹검색 재시도
73,센스 있는 생각에는 틀이 있다,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
75,시사(時事) 고사성어,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
78,유대인 엄마의 경제 교육,qa_failed,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,재시도,번역서 041/546 누락 — 기계적 보완 가능
80,이순신의 위대한 경영,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
81,정프로의 한없이 가벼운 경제 상식,error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
83,주인의 눈,qa_failed,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,재시도,번역서 041/546 누락 — 기계적 보완 가능
86,질서의 종말,needs_info,원서명 및 원출판년도 / 발행년도(2026년) 확인,재시도(웹검색 보강) 후 미해결시 에스컬레이션,목차/책소개/원서명 웹검색 재시도
94,강아지가 하는 말,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 저자기호가 비어 있습니다. / 260 $a 발행지를 확인하지 못했습니다(needs_info).,사서 에스컬레이션,"1음절 저자명/한글 없는 표제 — 리재철 규칙 적용 불가, 관 정책 필요"
96,나 생명과학 좋아하나 봐,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
97,별과 원자,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
99,생각하는 청소년을 위한 생화학의 역사,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
103,아인슈타인이 알았더라면,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
104,자연 본능,needs_info,원서명 / 원저자 영문 표기,재시도(웹검색 보강) 후 미해결시 에스컬레이션,목차/책소개/원서명 웹검색 재시도
109,(좋든 싫든) 성수론,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
111,AI도 모르는 치매 케어 비법,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
113,갱선생의 기적의 다이어트,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
126,어서 오세요 희망약국입니다,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
127,우리 아이 평생 육아 마스터플랜,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
129,"유연한 채식, 페스카테리언의 식탁",qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
130,"이것만 알면 인테리어 공사로 1,000만 원 벌 수 있다",qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
131,일본 현지 슈퍼마켓 대백과,needs_info,번역서일 가능성이 높으나 역자 정보가 없어 확인 필요,재시도(웹검색 보강) 후 미해결시 에스컬레이션,목차/책소개/원서명 웹검색 재시도
135,집밥력,error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
136,청소년 정신 건강에 관한 모든 질문,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
137,추추의 집밥 클래스,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
140,태교의 과학,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
146,샤머니즘의 모든 것,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
148,옛 그림 속의 우리 나무,error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
150,음악가의 일,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
152,일본 문구 대백과,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
154,"진짜 예술, 가짜 예술",qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info). / 번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
155,"행성의 순간, 영화의 감각",error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
157,로지쌤의 영어 그림책 정공법,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
158,세상에서 가장 순수하고 우수한 말,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
159,요만큼만 알아도 미드가 엄청 재밌어진다!,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 저자기호가 비어 있습니다. / 260 $a 발행지를 확인하지 못했습니다(needs_info).,사서 에스컬레이션,"1음절 저자명/한글 없는 표제 — 리재철 규칙 적용 불가, 관 정책 필요"
162,자주 쓰는 영어 단어를 파고듭니다,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
164,짧은 문장의 힘,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
165,64,qa_failed,저자기호가 비어 있습니다.,사서 에스컬레이션,"1음절 저자명/한글 없는 표제 — 리재철 규칙 적용 불가, 관 정책 필요"
166,I,qa_failed,저자기호가 비어 있습니다.,사서 에스컬레이션,"1음절 저자명/한글 없는 표제 — 리재철 규칙 적용 불가, 관 정책 필요"
170,검은 수선화,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
171,계절의 수첩,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
178,"그림책, 알수록 사랑하게 된다",qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
191,다섯 평이면 충분해,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
193,두근두근 에코 클럽,needs_info,목차 / 책소개,재시도(웹검색 보강) 후 미해결시 에스컬레이션,목차/책소개/원서명 웹검색 재시도
194,루미너스,qa_failed,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,재시도,번역서 041/546 누락 — 기계적 보완 가능
197,마음 귀신,error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
200,문제늑대가 우리를 갈라놓았다,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
204,반장으로서의 책임과 의무 7,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
209,북쪽의 개,qa_failed,주제명표목(650/651)도 키워드(653)도 없습니다.,재시도,650/653 누락 — 주제명 보완
213,살목지,needs_info,목차 3번 '악수 | 악수'의 저자명이 책임표시의 '권현우'와 상이하여 확인 필요 (악수가 권현우의 필명인지 여부),사서 에스컬레이션,저자 필명/실명 확인 필요
219,세부 속으로,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
227,쓰는 동안 조금씩 어른이 되었다,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
231,애니가 남긴 것,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
238,여름,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
243,우리 집 댕냥이가 죽으면 어떡하지?,qa_failed,번역서인데 041이 없습니다. / 번역서인데 546 언어주기가 없습니다.,재시도,번역서 041/546 누락 — 기계적 보완 가능
244,우리는 가장 밝은 밤에 헤어졌다,error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
245,우리의 여름은 문장이 된다,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
255,저 밖에서 비명 소리가,qa_failed,저자기호가 비어 있습니다.,사서 에스컬레이션,"1음절 저자명/한글 없는 표제 — 리재철 규칙 적용 불가, 관 정책 필요"
262,죽음의 인연,needs_info,목차 / 책소개 / 원표제,재시도(웹검색 보강) 후 미해결시 에스컬레이션,목차/책소개/원서명 웹검색 재시도
263,"지나간 계절 모두, 북해도",error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
271,코헨을 듣는 시간,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
273,펀치 : 맞을수록 강해지는 만화 편집자 이야기,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
274,평화로운 우리의 비건 식탁에 놀러 오세요,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
277,한눈에 읽는 오디세이,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
281,"다시, 마르크스를 읽어야 할 때",error,,재시도,응답 타임아웃(내용 문제 아님) — 그대로 재위임
284,살면서 딱 한 번 읽는 인물 한국사,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
286,슈타지랜드,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
288,왕과 책사,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
290,유럽 도시 기행 2,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
291,유럽 도시 기행 3,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
297,처음 만나는 지경학,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
299,필름과 전쟁,qa_failed,008/15-17 발행국 부호가 비어 있습니다(발행지 미확인). / 260 $a 발행지를 확인하지 못했습니다(needs_info).,재시도(1회) 후 미해결시 에스컬레이션,"발행처 소재지 웹검색 재시도, 확인 불가시 [발행지불명] 확정 후 사서 통보"
