구분,09-04 검토,등록번호,서명,저자,출판사,ISBN,부가기호,최초분류,하네스 권고,최종 분류,청구기호,워커상태,본표 표목,워커 근거,검증 지적,사서 결정(기입)
② 참고(워커가 표목 미확인 표시),WARN,EM197560,(좋든 싫든) 성수론,"권혜인,김세훈,김정혜,김유빈,김현수,소정호,양지슬,유선진,이다은,이민수,한지수 지음",책사람집,9791194140160,03530,300,331.47 또는 539.7,331.47,331.47 권94좋,needs_info,"도시사회학, 도시지역사회학","하네스 권고(331.47)와 자관 분포(331.47 32건)에 따라 도시사회학으로 분류함. 539.7은 본표 발췌에 존재하지 않아 배제하였으며, 331.47의 표목은 발췌에 없어 '표목 미확인' 처리하고 confidence를 'low'로 설정함.","[WARN] 워커가 표목 미확인으로 표시(331.47, 본표 '도시사회학, 도시지역사회학')",
② 참고(워커가 표목 미확인 표시),WARN,EM197566,기질 양육의 뇌과학,"릴리아나 렝구아,마리아 가르스틴 지음 ;박정은 옮김",현대지성,9791139732238,03590,598,598.1,378.1,378.1 렝16기,needs_info,성인교육 평생교육,"사서 힌트 592는 의복(복식)에 해당하여 본 자료의 주제와 맞지 않으므로 배제함. 자녀의 기질과 양육법을 다루므로 378.1(자녀교육)로 분류함. 단, 제공된 본표 발췌에 378류가 없어 표목을 확인할 수 없으므로 표목 미확인 처리함. 자관 분포 미조회.","[WARN] 워커가 표목 미확인으로 표시(378.1, 본표 '성인교육 평생교육') / [INFO] 권고(598.1)와 다른 번호를 선택 — 근거 확인 필요",
② 참고(워커가 표목 미확인 표시),WARN,EM197584,제시언니의 갱년기 수업,지은이: 제시언니,힘찬북스(HCbooks),9791190227681,13510,517.3,517.2 또는 513.6,517.36,517.36 제58제,needs_info,여자위생,"하네스 권고인 517.2(민족위생)와 513.6(내과학)은 자료의 내용(갱년기 여성의 건강관리, 운동, 생활습관)과 부합하지 않음. 갱년기 여성건강은 KDC6에서 517.36(여자위생)에 해당하나, 제공된 본표 발췌에 해당 세목의 표목이 명시되지 않아 '표목 미확인'으로 처리하고 confidence를 low로 설정함. 자관 분포에서 517.36이 사용되고 있음을 확인함.","[WARN] 워커가 표목 미확인으로 표시(517.36, 본표 '여자위생') / [INFO] 권고(517.2 또는 513.6)와 다른 번호를 선택 — 근거 확인 필요",
② 참고(워커가 표목 미확인 표시),WARN,EM197589,콩팥을 지키려면 음식부터 바꾸셔야겠습니다,류동열 지음,북랩,9791175981812,13510,517.523,517.52,517.52,517.52 류25콩,needs_info,식이일반적인 식이를,"하네스 권고 517.52와 자관 분포(95건)를 고려하여 만성콩팥병(신장 질환) 관련 서적으로 분류하였으나, 제공된 본표 발췌에 517.52 세목의 표목이 없어 검증할 수 없으므로 표목 미확인 처리함.","[WARN] 워커가 표목 미확인으로 표시(517.52, 본표 '식이일반적인 식이를')",
② 참고(워커가 표목 미확인 표시),WARN,EM197614,지적 대화를 위한 AI 언어 수업,강수진 지음,어웨이크(AWAKE),9791199624979,03700,004.582,004.73,004.73,004.73 강56지,needs_info,"인공지능인공지능시스템, 자동추론, 기계학습","하네스 권고인 004.73은 본표 발췌에 명시되지 않아 표목을 직접 확인할 수 없으나, AI 프롬프트 엔지니어링 및 AI 활용서는 일반적으로 인공지능으로 분류됨. 자관 분포에서 004.73이 73건으로 압도적으로 많이 사용되고 있어 해당 번호를 선택함. 발췌에 표목이 없어 confidence는 low로 설정함.","[WARN] 워커가 표목 미확인으로 표시(004.73, 본표 '인공지능인공지능시스템, 자동추론, 기계학습')",
② 참고(재작업에도 번호 안 바뀜),WARN,EM197547,나 생명과학 좋아하나 봐,저자 : 이고은;삽화가(그림작가) : 신병근,세번째행성,9791192585918,44400,470,470.7 또는 371.4,470,470 이15나,needs_info,생물과학 생명공학,"하네스는 470을 대분류로 판단하여 세목(470.7)을 권고했으나, KDC에서 470은 3자리 주요 강목(생물과학)으로 서가 배열에 지장이 없음. 또한 자관 세목 분포에 470.7이 없고 동일 저자의 이전 도서가 모두 470에 분류되어 있어 자관 관례에 따라 470을 유지함.",[WARN] 강목 470까지만 부여 — 세목 검토 필요 / [WARN] 앞선 분류 470 그대로 — 재작업으로 바뀌지 않음,
② 참고(재작업에도 번호 안 바뀜),WARN,EM197558,친절한 교과 씨 힘과 운동으로 수다 떨다,고재현 글 ;불곰 그림,데이스타,9791168274471,43420,421,421 유지 가능,421,421 고73친,ok,고체역학역학에 관한 종합적인 저작을,"힘과 운동, 중력 등 역학의 기본 개념을 다루는 물리 교양서로 고체역학(421)로 분류함. 자관 세목 분포와 동일 저자의 타 과학 도서 분류 경향을 반영함.",[WARN] 앞선 분류 421 그대로 — 재작업으로 바뀌지 않음,
② 참고(재작업에도 번호 안 바뀜),WARN,EM197579,우아한 노화,김수연 지음,북스고,9791167601322,03510,517.3,517.2 또는 511.4,517.3,517.3 김56우,ok,개인위생,"하네스는 517.2(민족위생) 또는 511.4(조직생리학)를 권고했으나, 본서의 주제는 식이·운동·수면·정신 등 일상적 실천을 통한 노화 지연 및 웰에이징으로 517.3(개인위생)에 해당한다. 반려 사유인 '517.3에 노화·웰에이징'이 지적하듯, 노화 및 웰에이징 관련 일반서는 517.3으로 분류하는 것이 타당하며 자관 분포(517.3 131건)와도 일치한다.",[WARN] 앞선 분류 517.3 그대로 — 재작업으로 바뀌지 않음,
② 참고(재작업에도 번호 안 바뀜),WARN,EM197612,자아 만들기,모기룡 지음,미다스북스,9791173559686,03740,740.7,740.7 근거 불명,740.7,740.7 모18자,ok,(상위 740) 영어,"책소개와 부가기호(03740→영어·교육)에 따르면 이 책은 영어 습득을 위한 동기부여와 자아 확장 방법론을 다루는 영어 학습서이다. 언어학적 분석이 아닌 학습자의 내재적 동기·마음가짐을 다루므로 '영어 학습·지도'(740.7)가 적절하다. 자관 분포에서 740.7이 127건으로 압도적 다수이며, 앞선 반려 사유인 '세목 근거 불명'에 대해 영어 학습 동기부여는 740.7의 핵심 주제 영역임을",[INFO] 본표 미수록 조합번호 — 상위 740 '영어' / [WARN] 앞선 분류 740.7 그대로 — 재작업으로 바뀌지 않음,
② 참고(재작업에도 번호 안 바뀜),WARN,EM197655,반장으로서의 책임과 의무 7,저자 :  수신지,귤프레스,9791199972209,07810,813.7,813.7 유지 가능,813.7,813.7 수58반,ok,"(상위 813) 소설야담, 고담을",ISBN 부가기호와 목차의 에피소드 구성으로 보아 한국 현대 소설로 판단됨. 2026년 출판본이므로 21세기 소설인 813.7로 분류함.,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을' / [WARN] 앞선 분류 813.7 그대로 — 재작업으로 바뀌지 않음",
② 참고(재작업에도 번호 안 바뀜),WARN,EM197694,우리 집 댕냥이가 죽으면 어떡하지?,지은이: 시와오 ;옮긴이: 김현정,서울미디어코믹스(서울문화사),9791142819629,03800,818,818 유지 가능,818,818 시65우,ok,"르포르타주 및 기타인용구, 경구, 표어, 일화집, 회상록, 수기, 콩트 등으로 문학적인 잡저는","09-04 검토에서 818(한국문학 수필)로 현행 유지 가능하다고 판단되었으나, 이전 분류에서 본표에 없는 599를 적용하여 반려됨. 본표 발췌에서 818 '르포르타주 및 기타'가 확인되며, 자관 분포에서도 818이 압도적으로 많이 사용되고 있으므로 818로 분류함. ISBN 부가기호 8도 수필/기타를 의미하여 일치함.",[WARN] 앞선 분류 818 그대로 — 재작업으로 바뀌지 않음,
② 참고(재작업에도 번호 안 바뀜),WARN,EM197712,죽음의 수용소 이후,빅터 프랭클 지음 ;유영미 옮김,북하우스,9791164053629,03180,186.5,186.5 유지 가능,186.5,186.5 프294죽,ok,"정신요법심리요법, 지정요법","빅터 프랭클의 실존분석과 삶의 의미, 윤리적 책임에 관한 철학적 강의록이다. 자관에서 동일 저자의 『무의미의 의미』, 『죽음의 수용소에서』를 186.5로 분류하고 있으므로 이에 따라 윤리학, 도덕철학으로 분류한다.",[WARN] 앞선 분류 186.5 그대로 — 재작업으로 바뀌지 않음,
② 참고(재작업에도 번호 안 바뀜),WARN,EM197750,필름과 전쟁,앨리스 러브조이 지음 ;윤종은 옮김,소소의책,9791171650408,03900,509,509 유지 가능,509,509 러47필,ok,기술사지역구분표에 따라 세분한다. 예: 중국기술사 509.12,"필름의 제조 기술과 화학산업의 역사를 중심으로 전쟁·핵무기 개발과의 연관성을 추적하므로 기술사로 분류한다. 코닥·아그파 등 필름 기업을 통해 셀룰로이드 생산, 독가스·원자폭탄 개발 과정을 다루며, 자관에서도 509를 압도적으로 사용한다.",[WARN] 앞선 분류 509 그대로 — 재작업으로 바뀌지 않음,
