등록번호,서명,앞선KDC,권고KDC,재분류KDC,청구기호,반려유형,워커상태,확신도,판정,지적,분류경로
EM197523,세계화는 어떻게 실패했는가,300,322.8,322.8,322.8 린86세,세목 누락,ok,high,통과,,300 사회과학 → 320 경제 → 322 경제정책 → 322.8 국제경제
EM197524,센스 있는 생각에는 틀이 있다,325.211,325.57,325.571,325.571 사885센,세목 부적합,qa_failed,high,FAIL,"[FAIL] 표목 불일치: 본표 '상품 계획, 전략상품, 상품학, 상표' ≠ 워커 '광고전략' / [INFO] 권고(325.57)와 다른 번호를 선택 — 근거 확인 필요",3 사회과학 → 32 경제학 → 325 경영학 → 325.5 마케팅 → 325.57 광고 → 325.571 광고전략
EM197528,우리는 어떤 나라를 원하는가,300,351,351.1219,351.1219 백57우,세목 누락,needs_info,low,INFO,"[INFO] 본표 미수록 조합번호 — 상위 351 '-357 각국 중앙행정지역구분표에 따라 세분한 후, 350.1-.8과 같이 기호를 부가하여 세분한' / [INFO] 권고(351)와 다른 번호를 선택 — 근거 확인 필요",300 사회과학 → 350 행정학 → 351 아시아 중앙행정 및 행정부 → 표목 미확인
EM197529,유대인 엄마의 경제 교육,330.4,378.9 또는 327.04,378.9,378.9 이32유,세목 부적합,qa_failed,high,통과,,378 평생교육 → 378.9 부모교육
EM197530,육식의 종말,330,381.7 또는 539.98,381,381 리897육,세목 누락,needs_info,low,INFO,[INFO] 권고(381.7 또는 539.98)와 다른 번호를 선택 — 근거 확인 필요,"3 사회과학 → 38 풍속, 예절, 민속학 → 381 의식주의 풍습"
EM197534,주인의 눈,300,331.5412 또는 004.7309,331.5412,331.5412 파57주,세목 누락,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '과학과 기술의 발달' ≠ 워커 '자동화' (번호는 권고와 일치),3 사회과학 → 331 노동 → 331.5 노동조건 → 331.54 노동조합 → 331.541 노동과 기술 → 331.5412 자동화
EM197540,최상위 합격을 만드는 시사 융합 탐구력,378.9,373 또는 376.54,373,373 한57최,세목 부적합,ok,high,WARN,"[WARN] 표목 인용 미준수: 본표 '학습지도, 교육방식교수이론, 교육공학, 교육기술' ≠ 워커 '학습지도, 교육방법' (번호는 권고와 일치)","3 사회과학 → 370 교육학 → 373 학습지도, 교육방법"
EM197543,하이브리드 씽킹,300,325.14 또는 189,189,189 정44하,세목 누락,ok,high,통과,,1 철학 → 189 응용심리학 일반
EM197546,기후위기는 어떻게 내 몸을 병들게 하는가,400,517 또는 539.98,517,517 베297기,세목 누락,ok,high,통과,,"5 기술과학 → 51 의학 → 517 건강증진, 공중보건 및 예방의학"
EM197547,나 생명과학 좋아하나 봐,470,470.7 또는 371.4,470,470 이15나,세목 누락,qa_failed,high,WARN,[WARN] 강목 470까지만 부여 — 세목 검토 필요 / [WARN] 앞선 분류 470 그대로 — 재작업으로 바뀌지 않음,400 자연과학 → 470 생물과학
EM197549,새들의 세계,477.9699,496.7,498,498 언66새,세목 부적합,ok,high,INFO,[INFO] 권고(496.7)와 다른 번호를 선택 — 근거 확인 필요,4 자연과학 → 490 동물학 → 498 조류
EM197552,수학자의 생각 수업,410.4,410.1 또는 410,410.1,410.1 주92수,세목 부적합,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '철학 및 이론 수리논리학' ≠ 워커 '수학철학' (번호는 권고와 일치),4 자연과학 → 410 수학 → 410.1 수학철학
EM197553,식물은 어떻게 느끼고 행동하고 기억하는가,481,483,481.1,481.1 곽76식,세목 부적합,ok,high,INFO,[INFO] 권고(483)와 다른 번호를 선택 — 근거 확인 필요,4 자연과학 → 48 식물학 → 481 일반 식물학 → 481.1 식물생리학
EM197555,자연 본능,400,699.104,699.104,699.104 굴298자,세목 누락,needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 699 '기타 오락 및 레저스포츠야생동물의 보호를',600 예술 → 699 기타 오락 및 레저스포츠 → 699.104 표목 미확인
EM197559,화성에 도시를 세운다면,530.04,538.9 또는 440,440,440 와68화,세목 부적합,ok,high,WARN,[WARN] 강목 440까지만 부여 — 세목 검토 필요,400 자연과학 → 440 천문학
EM197560,(좋든 싫든) 성수론,300,331.47 또는 539.7,331.47,331.47 권94좋,세목 누락,qa_failed,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(331.47, 본표 '도시사회학, 도시지역사회학')",300 사회과학 → 331 사회학 → 331.47 표목 미확인
EM197564,갱선생의 기적의 다이어트,517.3,517.52,517.52,517.52 갱54갱,세목 부적합,qa_failed,high,WARN,[WARN] 표목 인용 미준수: 본표 '식이일반적인 식이를' ≠ 워커 '다이어트' (번호는 권고와 일치),"5 기술과학 → 51 의학 → 517 건강증진, 공중보건 및 예방의학 → 517.52 다이어트"
EM197565,결국 부모는 믿어주는 사람,590.5,598.1,598.1,598.1 이57결,세목 부적합,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '육아 일반' ≠ 워커 '일반육아법' (번호는 권고와 일치),5 기술과학 → 590 생활과학 → 598 육아 → 598.1 일반육아법
EM197566,기질 양육의 뇌과학,598,598.1,598.1,598.1 렝16기,세목 누락,qa_failed,high,통과,,598 육아 → 598.1 육아 일반
EM197571,몸으로 마음을 다스리는 셀프 리셋,517.52,185.3 또는 517.32,185.3,185.3 오196몸,세목 부적합,ok,high,통과,,180 심리학 → 185 생리심리학 → 185.3 정신위생
EM197574,스포츠의학으로 읽는 목과 어깨,512.91,517.89,517.89,517.89 이25스,세목 부적합,ok,high,통과,,"5 의학 → 517 건강증진, 공중보건 및 예방의학 → 517.89 스포츠의학"
EM197576,암을 이겨내는 사람들의 비밀,517.32,513.9,513.9,513.9 문65암,세목 부적합,ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '병력질병사례 및 의무기록을' ≠ 워커 '종양학' (번호는 권고와 일치),5 기술과학 → 51 의학 → 513 내과학 → 513.9 종양학
EM197577,어서 오세요 희망약국입니다,517.3,518.6 또는 517,518,518 임75어,세목 부적합,qa_failed,high,INFO,[INFO] 권고(518.6 또는 517)와 다른 번호를 선택 — 근거 확인 필요,500 기술과학 → 510 의학 → 518 약학
EM197578,우리 아이 평생 육아 마스터플랜,517.3,517.2 또는 598,598,598 김56우,세목 부적합,qa_failed,high,통과,,5 기술과학 → 59 생활과학 → 598 육아
EM197579,우아한 노화,517.3,517.2 또는 511.4,517.3,517.3 김56우,세목 부적합,ok,high,WARN,[WARN] 앞선 분류 517.3 그대로 — 재작업으로 바뀌지 않음,"5 기술과학 → 51 의학 → 517 건강증진, 공중보건 및 예방의학 → 517.3 개인위생"
EM197584,제시언니의 갱년기 수업,517.3,517.2 또는 513.6,517.36,517.36 제58제,세목 부적합,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(517.36, 본표 '여자위생') / [INFO] 권고(517.2 또는 513.6)와 다른 번호를 선택 — 근거 확인 필요",5 응용과학 → 51 의학 → 517 건강증진·공중보건 및 예방의학 → 517.3 개인위생 → 517.36 표목 미확인
EM197585,중년을 살리는 하루 4분 운동,517.3,517.32,517.32,517.32 이52중,세목 부적합,ok,high,통과,,"5 기술과학 → 51 의학 → 517 건강증진, 공중보건 및 예방의학 → 517.3 개인위생 → 517.32 오락과 운동"
EM197587,청소년 정신 건강에 관한 모든 질문,517.32,513.8 또는 185.3,513.8,513.8 홍94청,세목 부적합,qa_failed,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 513 '-516과 같이 세분한다. 예: 내과간호 512.83',510 의학 → 513 내과학 → 513.8 표목 미확인
EM197589,콩팥을 지키려면 음식부터 바꾸셔야겠습니다,517.523,517.52,517.52,517.52 류25콩,확인 필요,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(517.52, 본표 '식이일반적인 식이를')",5 기술 → 51 의학 → 517 질병 및 예방의학 → 표목 미확인
EM197592,그림 속 철학 풍경,100,166 또는 650.1,166.8,166.8 김46그,세목 누락,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 166 '프랑스, 네덜란드철학' / [INFO] 권고(166 또는 650.1)와 다른 번호를 선택 — 근거 확인 필요","100 철학 → 166 프랑스, 네덜란드철학 → 166.8 20세기 프랑스철학"
EM197596,리피디의 펜 한 자루로 끝내는 뻔뻔한 드로잉,657.5,651,651,651 리898리,세목 부적합,ok,high,통과,,"6 기술, 공학 → 650 회화, 도화 → 651 채색이론 및 실제"
EM197600,유물멍 : 오래 볼수록 사랑스러운 것들,600.04,069 또는 814.7,069,069 국298유,세목 부적합,ok,high,통과,,"0 총류 → 06 일반 학회, 단체, 협회, 기관 → 069 박물관학"
EM197601,음악가의 일,670.6,670.9 또는 672,670,670 손68음,세목 부적합,qa_failed,high,WARN,[WARN] 강목 670까지만 부여 — 세목 검토 필요 / [INFO] 권고(670.9 또는 672)와 다른 번호를 선택 — 근거 확인 필요,6 예술 → 67 음악 → 670 음악
EM197602,음악의 기술,670.4,672.6 또는 670.1,676,676 워194음,세목 부적합,ok,high,INFO,[INFO] 권고(672.6 또는 670.1)와 다른 번호를 선택 — 근거 확인 필요,6 예술 → 670 음악 → 676 건반악기 및 타악기
EM197609,세상에서 가장 순수하고 우수한 말,710.7,711 또는 710.9,714,714 정55세,세목 부적합,qa_failed,high,INFO,[INFO] 권고(711 또는 710.9)와 다른 번호를 선택 — 근거 확인 필요,7 언어 → 710 한국어 → 714 어휘
EM197612,자아 만들기,740.7,740.7 근거 불명,740.7,740.7 모18자,세목 부적합,ok,high,WARN,[INFO] 본표 미수록 조합번호 — 상위 740 '영어' / [WARN] 앞선 분류 740.7 그대로 — 재작업으로 바뀌지 않음,7 언어 → 740 영어 → 740.7 영어 학습·지도
EM197613,자주 쓰는 영어 단어를 파고듭니다,743,744,744,744 김78자,세목 부적합,qa_failed,high,통과,,7 언어 → 740 영어 → 744 어휘
EM197614,지적 대화를 위한 AI 언어 수업,004.582,004.73,004.73,004.73 강56지,세목 부적합,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(004.73, 본표 '인공지능인공지능시스템, 자동추론, 기계학습')",004 컴퓨터과학 → 004.73 표목 미확인
EM197624,관계의 그릇,180,189.2,189.2,189.2 이94관,세목 누락,ok,high,통과,,180 심리학일반 → 189 응용심리학 → 189.2 개인 간의 관계
EM197630,"기적처럼, 채은이",814,814.7,814.7,814.7 김66기,세목 누락,needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 표목 미확인
EM197633,나를 살리는 음식들,814.7,594.51 또는 814.7,594.51,594.51 선73나,세목 부적합,ok,high,통과,,"5 기술과학 → 59 가정과학 및 가정생활 → 594 식품과 음료 → 594.5 조리법, 요리 → 594.51 한국요리"
EM197645,루미너스,813.7,확인 필요,840,840 박78루,기술 불일치,needs_info,low,WARN,[WARN] 강목 840까지만 부여 — 세목 검토 필요 / [INFO] 권고(확인 필요)와 다른 번호를 선택 — 근거 확인 필요,8 문학 → 840 영미문학
EM197658,부피의 계산에 대하여 1,800.99,859,859.81,859.81 발294부,총서 내 불일치,ok,high,FAIL,[FAIL] 859.81(.8=아동·유아)인데 부가기호 첫 자리 0(성인) / [INFO] 권고(859)와 다른 번호를 선택 — 근거 확인 필요,8 문학 → 85 독일문학 → 859 기타 게르만문학 → 859.81 덴마크문학
EM197663,산곡미풍,828,824.7,824.7,824.7 위95산,세목 부적합,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 824 '수필824.2-.7은 820.902-.907과 같이 세분한다. 예: 청시대수필 824.6',8 문학 → 82 중국문학 → 824 수필 → 824.7
EM197680,아이를 위한 부모 인문학,100,378.9,378.9,378.9 김38아,세목 누락,ok,high,통과,,3 사회과학 → 37 교육 → 378 평생교육 → 378.9 부모교육
EM197687,얽히는 돌봄,309.111,338 또는 331.47,338,338 희67얽,세목 부적합,ok,high,통과,,3 사회과학 → 338 사회복지
EM197696,우리의 여름은 문장이 된다,818,326.14 또는 834,326.1,326.1 이58우,세목 부적합,qa_failed,high,INFO,[INFO] 권고(326.14 또는 834)와 다른 번호를 선택 — 근거 확인 필요,"300 사회과학 → 326 상업, 교통, 통신 → 326.1 상업경영"
EM197707,절기 감각,814,814.7,814.7,814.7 이76절,세목 누락,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197717,진짜 새랑 눈이 마주쳤다니까요,814,814.7,814.7,814.7 이68진,세목 누락,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197733,도슨트처럼 박물관 걷기,900,069 또는 903,069,069 로58도,세목 누락,ok,high,통과,,0 총류 → 069 박물관학
EM197744,일본 책방 도감,836,981.302 또는 026,981.302,981.302 마52일,세목 부적합,ok,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 981 '아시아지리지역구분표 –1에 따라 세분하다. 예: 한국지리 981.1',9 지리·역사 → 980 지리 → 981 아시아지리 → 981.302
EM197746,일상 질문 사전,900,909 또는 030,909,909 전54일,세목 누락,ok,high,통과,,"9 역사 → 909 세계사, 세계문화사"
EM197748,처음 만나는 지경학,327,322.8,322.8,322.8 안38처,세목 누락,qa_failed,high,통과,,3 경제학 → 322 경제정책 → 322.8 국제경제
EM197751,"한글, 불편한 진실",911.05,711.09,711,711 강34한,세목 부적합,ok,high,INFO,[INFO] 권고(711.09)와 다른 번호를 선택 — 근거 확인 필요,"7 언어 → 71 한국어 → 711 음운, 음성, 문자"
