등록번호,서명,앞선KDC,권고KDC,재분류KDC,청구기호,반려유형,워커상태,확신도,판정,지적,분류경로
EM197653,바다가 들리는 편의점 4,833.8,833.6,833.6,833.6 마86바,대상독자 오판,ok,high,통과,,8 문학 → 83 일본문학 → 833 소설 → 833.6 현대
EM197654,바다가 들리는 편의점 5,833.7,833.6,833.6,833.6 마86바,표목 불일치,ok,high,통과,,8 문학 → 830 일본문학 및 기타 아시아 제문학 → 833 소설 → 833.6 현대
EM197659,부피의 계산에 대하여 2,883,859 (vol.1과 일치),859.3,859.3 발294부,문학 언어 오배정,ok,high,FAIL,[FAIL] 표목 불일치: 본표 '네덜란드문학' ≠ 워커 '소설' / [INFO] 권고(859 (vol.1과 일치))와 다른 번호를 선택 — 근거 확인 필요,8 문학 → 85 독일문학 → 859 기타 게르만문학 → 859.3 소설
EM197660,북쪽의 개,800,843,843,843 매874북,세목 누락(대분류),needs_info,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197661,비밀구락부,813.8,813.7,813.7,813.7 이95비,대상독자 오판,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197662,빵집에서는 수수께끼의 향기가 난다,833.7,833.6,833.6,833.6 쓰86빵,표목 불일치,ok,high,통과,,8 문학 → 830 일본문학 및 기타 아시아 제문학 → 833 소설 → 833.6 현대
EM197664,살목지,813.8,813.7,813.7,813.7 조78살,대상독자 오판,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 810 한국문학 → 813 소설 → 813.7 21세기
EM197672,솔 벨로 1,843.5,843,843,843 벨295솔,관 관행 위반,ok,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197673,솔 벨로 2,843.5,843,843,843 벨295솔,관 관행 위반,ok,high,통과,,8 문학 → 840 영미문학 → 843 소설
EM197674,수평선 너머,843.7,843,843,843 마68수,미존재 세목,ok,high,통과,,8 문학 → 840 영미문학 → 843 소설
EM197675,슬픈 호랑이,843.7,863,863,863 시195슬,문학 언어 오배정,ok,high,통과,,8 문학 → 860 프랑스문학 → 863 소설
EM197682,애니가 남긴 것,843.7,843,843,843 퀸27애,미존재 세목,qa_failed,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197683,어느 영화의 이변에 대한 목격 정보를 모집합니다,800,833.6,833.6,833.6 카68어,세목 누락(대분류),ok,high,통과,,8 문학 → 830 일본문학 및 기타 아시아 제문학 → 833 소설 → 833.6 현대
EM197689,여름,843.6,843,843,843 워887여,관 관행 위반,qa_failed,high,통과,,8 문학 → 840 영미문학 → 843 소설
EM197699,이 완벽한 날,843.6,843,843,843 레49이,관 관행 위반,ok,high,통과,,8 문학 → 84 영미문학 → 843 소설
EM197706,저 밖에서 비명 소리가,843.6,843,843,843,관 관행 위반,qa_failed,high,통과,,8 문학 → 840 영미문학 → 843 소설
EM197711,"좋겠다, 아무것도 안 하고 월급 받으면",813.8,813.7,813.7,813.7 박54좋,대상독자 오판,ok,high,INFO,"[INFO] 본표 미수록 조합번호 — 상위 813 '소설야담, 고담을'",8 문학 → 81 한국문학 → 813 소설 → 813.7 21세기
EM197713,죽음의 인연,800,833.6,833.6,833.6 오63죽,세목 누락(대분류),needs_info,high,통과,,8 문학 → 83 일본문학 → 833 소설 → 833.6 현대
EM197722,코헨을 듣는 시간,817,814.7,814.7,814.7 고64코,표목 불일치,qa_failed,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 814 '수필814.3-.7은 810.903-.907과 같이 세분한다. 예: 20세기수필 814.6',8 문학 → 81 한국문학 → 814 수필 → 814.7 21세기
EM197725,평화로운 우리의 비건 식탁에 놀러 오세요,596.81,594.5,594.5,594.5 은64평,표목 불일치,qa_failed,high,통과,,5 기술과학 → 590 가정학 및 가정생활 → 594 식품과 음료 → 594.5 요리
EM197728,한눈에 읽는 오디세이,813.7,881 또는 808,892.1,892.1 호34한,문학 언어 오배정,qa_failed,high,INFO,[INFO] 권고(881 또는 808)와 다른 번호를 선택 — 근거 확인 필요,8 문학 → 890 기타 제문학 → 892 인도-유럽계문학 → 892.1 그리스문학
EM197736,세상에서 가장 짧은 중국사,911,912,912,912 제68세,표목 불일치,ok,high,통과,,9 역사 → 91 아시아사 → 912 중국
EM197737,슈타지랜드,900,925.4,925.073,925.073 펀24슈,세목 누락(대분류),qa_failed,high,FAIL,[FAIL] 표목 불일치: 본표 '제3제국 1933-1945' ≠ 워커 '20세기' / [INFO] 권고(925.4)와 다른 번호를 선택 — 근거 확인 필요,9 역사 → 925 독일과 중앙유럽 → 925.07 독일 역사 → 925.073 20세기
EM197738,엘리자베트,900,925 또는 928,925,925 김72엘,세목 누락(대분류),ok,high,WARN,[WARN] 표목 인용 미준수: 본표 '독일1866년에 독일 영토가 되었던 국가 및 지역에 대한 종합저작 및 중앙유' ≠ 워커 '독일과 중앙유럽' (번호는 권고와 일치),900 역사 → 920 유럽 → 925 독일과 중앙유럽
EM197741,유럽 도시 기행 2,920.4,982.02,982.02,982.02 유58유,총서 계승 실패,qa_failed,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 982 '유럽지리지역구분표 –2에 따라 세분하다. 예: 영국지리 982.4',9 역사 → 98 지리 → 982 유럽지리
EM197742,유럽 도시 기행 3,818,982.02,982.02,982.02 유58유,총서 계승 실패,qa_failed,high,INFO,[INFO] 본표 미수록 조합번호 — 상위 982 '유럽지리지역구분표 –2에 따라 세분하다. 예: 영국지리 982.4',9 지리 → 98 각국지리 → 982 유럽지리 → 982.02
EM197745,일본에서 보내는 한 달,913.05,981.302,981.302,981.302 김67일,표목 불일치,needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 981 '아시아지리지역구분표 –1에 따라 세분하다. 예: 한국지리 981.1',9 지리 및 역사 → 98 지리 → 981 아시아지리 → 981.302 표목 미확인
EM197747,좋은 전쟁,911,912.07 또는 909,912.07,912.07 미884좋,표목 불일치,needs_info,low,WARN,"[WARN] 워커가 표목 미확인으로 표시(912.07, 본표 '중화민국시대, 최근세 1912-')",9 역사 → 912 중국 → 912.07 표목 미확인
EM197749,"튀르키예, 역사로 여행하기",900,982.802,982.802,982.802 이56튀,세목 누락(대분류),needs_info,low,INFO,[INFO] 본표 미수록 조합번호 — 상위 982 '유럽지리지역구분표 –2에 따라 세분하다. 예: 영국지리 982.4',9 지리 → 982 유럽지리 → 982.8 표목 미확인 → 982.802 표목 미확인
